PLOT,SUB,CATENA,POSITION,FENCE,SODIUM
CT1T,A,1,1,0,1
CT1T,B,1,1,1,0
CT1T,C,1,1,1,1
CT1T,D,1,1,0,0
CT12,A,1,2,0,0
CT12,B,1,2,1,0
CT12,C,1,2,1,1
CT12,D,1,2,0,1
CT13,A,1,3,0,0
CT13,B,1,3,1,0
CT13,C,1,3,1,1
CT13,D,1,3,0,1
CT14,A,1,4,0,0
CT14,B,1,4,1,1
CT14,C,1,4,1,0
CT14,D,1,4,0,1
CT1B,A,1,5,0,1
CT1B,B,1,5,1,1
CT1B,C,1,5,1,0
CT1B,D,1,5,0,0
CT2T,A,2,1,0,0
CT2T,B,2,1,1,1
CT2T,C,2,1,1,0
CT2T,D,2,1,0,1
CT22,A,2,2,0,1
CT22,B,2,2,1,1
CT22,C,2,2,1,0
CT22,D,2,2,0,0
CT23,A,2,3,0,1
CT23,B,2,3,1,0
CT23,C,2,3,1,1
CT23,D,2,3,0,0
CT24,A,2,4,0,1
CT24,B,2,4,1,0
CT24,C,2,4,1,1
CT24,D,2,4,0,0
CT2B,A,2,5,0,0
CT2B,B,2,5,1,1
CT2B,C,2,5,1,0
CT2B,D,2,5,0,1
CT3T,A,3,1,0,1
CT3T,B,3,1,1,1
CT3T,C,3,1,1,0
CT3T,D,3,1,0,0
CT32,A,3,2,0,0
CT32,B,3,2,1,0
CT32,C,3,2,1,1
CT32,D,3,2,0,1
CT33,A,3,3,0,1
CT33,B,3,3,1,1
CT33,C,3,3,1,0
CT33,D,3,3,0,0
CT34,A,3,4,0,1
CT34,B,3,4,1,1
CT34,C,3,4,1,0
CT34,D,3,4,0,0
CT3B,A,3,5,0,0
CT3B,B,3,5,1,1
CT3B,C,3,5,1,0
CT3B,D,3,5,0,1
